pmid,title,year,journal,authors,grants
34315035,Elucidation of familial relationships using hair shaft proteomics.,2021,Forensic science international. Genetics,Karim N; Plott TJ; Durbin-Johnson BP; Rocke DM; Salemi M,UL1 TR001860
34034859,Genome-wide CRISPRi screening identifies OCIAD1 as a prohibitin client and regulatory determinant of mitochondrial Complex III assembly in human cells.,2021,eLife,Le Vasseur M; Friedman J; Jost M; Xu J; Yamada J,T32 GM007618; R35 GM141800; RM1 HG009490; T32 EB009383; R01 GM126081; K99 HL133372; S10 OD021801; K99 GM130964; R00 HL133372; S10 OD018223; R37 GM097432
33969321,Divergent and self-reactive immune responses in the CNS of COVID-19 patients with neurological symptoms.,2021,Cell reports. Medicine,Song E; Bartley CM; Chow RD; Ngo TT; Jiang R,T32 AI060537; R01 NS118995; T32 AI007517; R01 AI157488; R01 AI104739; K23 MH118999; F31 AI150007; F30 CA250249; R01 MH122471; R21 MH118109; UL1 TR001863; T32 GM136651; F30 CA239444; K08 NS096117; S10 OD021801; U19 AI089992
33859233,Novel application of automated machine learning with MALDI-TOF-MS for rapid high-throughput screening of COVID-19: a proof of concept.,2021,Scientific reports,Tran NK; Howard T; Walsh R; Pepper J; Loegering J,
33261033,Comparative Proteomic Analysis of Walnut (Juglans regia L.) Pellicle Tissues Reveals the Regulation of Nut Quality Attributes.,2020,"Life (Basel, Switzerland)",Zaini PA; Feinberg NG; Grilo FS; Saxe HJ; Salemi MR,S10 OD021801; 2017; .
33050347,Proteome Analysis of Walnut Bacterial Blight Disease.,2020,International journal of molecular sciences,H D Sagawa C; de A B Assis R; Zaini PA; Wilmarth PA; Phinney BS,S10 OD021801; D-0420-07-0
32935102,Exploratory neuroimmune profiling identifies CNS-specific alterations in COVID-19 patients with neurological involvement.,2020,bioRxiv : the preprint server for biology,Song E; Bartley CM; Chow RD; Ngo TT; Jiang R,R01 AI157488; R01 AI104739; K23 MH118999; F30 CA250249; R01 MH122471; R21 MH118109; UL1 TR001863; T32 GM136651; F30 CA239444; K08 NS096117; S10 OD021801; U19 AI089992
32882865,Deep Learning Neural Network Prediction Method Improves Proteome Profiling of Vascular Sap of Grapevines during Pierce's Disease Development.,2020,Biology,Helena Duarte Sagawa C; Zaini PA; de A B Assis R; Saxe H; Salemi M,S10 OD021801; CDFA 14-0136-SA
32505640,Optimal processing for proteomic genotyping of single human hairs.,2020,Forensic science international. Genetics,Goecker ZC; Salemi MR; Karim N; Phinney BS; Rice RH,S10 OD010786
32485593,Age-Related Changes in Hair Shaft Protein Profiling and Genetically Variant Peptides.,2020,Forensic science international. Genetics,Plott TJ; Karim N; Durbin-Johnson BP; Swift DP; Scott Youngquist R,UL1 TR001860
32412768,Glycopeptide Biomarkers in Serum Haptoglobin for Hepatocellular Carcinoma Detection in Patients with Nonalcoholic Steatohepatitis.,2020,Journal of proteome research,Zhu J; Huang J; Zhang J; Chen Z; Lin Y,P30 CA016672; U01 CA231081; S10 OD021619; R01 GM049500; U01 CA230694; RF1 AG052324; R01 DK071801; R50 CA221808; U01 CA225753; R01 CA160254
32299909,"N-terminal protein acetylation by NatB modulates the levels of Nmnats, the NAD+ biosynthetic enzymes in Saccharomyces cerevisiae.",2020,The Journal of biological chemistry,Croft T; Venkatakrishnan P; James Theoga Raj C; Groth B; Cater T,R01 GM102297
32099006,Gender-specific changes in energy metabolism and protein degradation as major pathways affected in livers of mice treated with ibuprofen.,2020,Scientific reports,Tiwari S; Mishra M; Salemi MR; Phinney BS; Newens JL,S10 OD021801
31547130,Serum-Derived Extracellular Vesicles from African Swine Fever Virus-Infected Pigs Selectively Recruit Viral and Porcine Proteins.,2019,Viruses,Montaner-Tarbes S; Pujol M; Jabbar T; Hawes P; Chapman D,BBS/E/I/00007037; BBS/E/I/00002014; BB/L004267/1; BBS/E/I/00007039; BBS/E/I/00007038
31231467,Prioritization of metabolic genes as novel therapeutic targets in estrogen-receptor negative breast tumors using multi-omics data and text mining.,2019,Oncotarget,Barupal DK; Gao B; Budczies J; Phinney BS; Perroud B,U19 AG023122; U54 AI138370
31175171,AtTRAPPC11/ROG2: A Role for TRAPPs in Maintenance of the Plant Trans-Golgi Network/Early Endosome Organization and Function.,2019,The Plant cell,Rosquete MR; Worden N; Ren G; Sinclair RM; Pfleger S,
31058420,Stabilizing Antibody Cocktails for Mass Cytometry.,2019,Cytometry. Part A : the journal of the International Society for Analytical Cytology,Schulz AR; Baumgart S; Schulze J; Urbicht M; Grützkau A,
30978464,Proteomic manifestations of genetic defects in autosomal recessive congenital ichthyosis.,2019,Journal of proteomics,Karim N; Durbin-Johnson B; Rocke DM; Salemi M; Phinney BS,UL1 TR001860
30952696,Physiological profile of undifferentiated bovine blastocyst-derived trophoblasts.,2019,Biology open,Pillai VV; Siqueira LG; Das M; Kei TG; Tu LN,
30939338,Comparison of protein expression levels and proteomically-inferred genotypes using human hair from different body sites.,2019,Forensic science international. Genetics,Milan JA; Wu PW; Salemi MR; Durbin-Johnson BP; Rocke DM,UL1 TR000002; UL1 TR001860
30916809,Human stratum corneum proteomics reveals cross-linking of a broad spectrum of proteins in cornified envelopes.,2019,Experimental dermatology,Karim N; Phinney BS; Salemi M; Wu PW; Naeem M,CA-D-ETX-2152-H
30552537,Cornification of nail keratinocytes requires autophagy for bulk degradation of intracellular proteins while sparing components of the cytoskeleton.,2019,Apoptosis : an international journal on programmed cell death,Jaeger K; Sukseree S; Zhong S; Phinney BS; Mlitz V,
30033667,Corneocyte proteomics: Applications to skin biology and dermatology.,2018,Experimental dermatology,Rice RH; Durbin-Johnson BP; Mann SM; Salemi M; Urayama S,R01 AR056635; R21 AR063781; UL1 TR001860
29524673,Glaucomatous cell derived matrices differentially modulate non-glaucomatous trabecular meshwork cellular behavior.,2018,Acta biomaterialia,Raghunathan VK; Benoit J; Kasetti R; Zode G; Salemi M,R01 EY003279; R01 EY028616; R01 EY019643; R01 EY025721; R01 EY026177; R01 EY008247; P30 EY010572; R01 EY026048
29317496,A functional link between NAD+ homeostasis and N-terminal protein acetylation in Saccharomyces cerevisiae.,2018,The Journal of biological chemistry,Croft T; James Theoga Raj C; Salemi M; Phinney BS; Lin SJ,R01 GM102297
29155854,Profiling of proteins secreted in the bovine oviduct reveals diverse functions of this luminal microenvironment.,2017,PloS one,Pillai VV; Weber DM; Phinney BS; Selvaraj V,
29150907,Sensitivity of doping biomarkers after administration of a single dose testosterone gel.,2018,Drug testing and analysis,Mullen J; Börjesson A; Hopcraft O; Schulze JJ; Ericsson M,
28951887,Proteomes of Lactobacillus delbrueckii subsp. bulgaricus LBB.B5 Incubated in Milk at Optimal and Low Temperatures.,2017,mSystems,Yin X; Salemi MR; Phinney BS; Gotcheva V; Angelov A,
